doc_id,brand_Name,review
1,Kia Seltos,"As your driving is more than 50 km/day so we'd suggest going with the diesel variant as it will reduce the running cost of the vehicle and longevity of the vehicle. If your driving is more in city traffic than an automatic variant will be a good option and if your driving is more on the highway, we'd suggest you go for the manual variant. Moreover, we'd suggest taking a test drive among the option which will help you to finalize your purchase."
2,Kia Seltos,The stylish look of this car attracts so much to the people this car is impressive in its own way such a gangsta feeling when I see it moving in fast speed the interior o...Read More
3,Kia Seltos,"Seltos is near perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, ride quality is superb and e...Read More"
4,Kia Seltos,"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
"
5,Kia Seltos,Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More
6,Kia Seltos,Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More
7,Kia Seltos,"The best car of 2019 hands down. The features and the price is beyond the world, love everything about it. Especially the heads-up display and the sunroof. All the variants are BS6 compliant and all of the variants of the car are nicely put up and all of them are feature-loaded too. The lights on the cars look like something else completely and it'...Read More"
8,Kia Seltos,"Excellent car for India. Whomsoever wants to buy a car, please go for this car definitely you will enjoy and also the best price with a luxury experience.
"
9,Kia Seltos,"The price-performance ratio is better than MG, Creta and other opponents as its size and modern features are very reliable. The wireless charger is also not a common feature. Its infotainment system is of Bose which is commendable. Also, it's an affordable car of its segment.
Read More"
10,Kia Seltos,"Excellent car in the market. Has shaken the automobile market by its features and performance. The biggest competitor in the field of automobiles.
"
11,Kia Seltos,"Runs smoothly and has great looks.
"
12,Kia Seltos,"Super looks and excellent engine. Better experience at a lower price.
"
13,Kia Seltos,"Amazing car with new technology updates and runs smoothly.
"
14,Kia Seltos,"In one word it's a superb car. The interior and exterior both are superb and have a good suspension. Good space, color combination is also good and look-wise it's superb. The driving experience is ultimate so far. Highly recommended.
Read More"
15,Kia Seltos,"The car's performance is superb and its engine is so powerful. It's interior is luxurious and runs smoothly.
"
16,Kia Seltos,"5he car nice spacious. The infotainment system is also great .the first in segment thing is the air 1uality control system and the bs6 engine.
"
17,Kia Seltos,"Very wonderful design and technical development are too high this type of car, and also so many features available in the vehicle, more options and more model, vehicle looking is good. I'm seen the car at road very nice and fantastic road presence, one of the my lovely car of this segment, thanks to KIA motors I'm waiting for next Carnival car, als...Read More"
18,Kia Seltos,"I am proud of the owner of the Kia Seltos HTK+ petrol variant, it is the most comfortable car in its segment as well as has great driving and handling characteristics. Kia has provided all the necessary features at a competitive price but I feel that it should have provided some features like armrest and charging port for rear passengers too in thi...Read More"
19,Kia Seltos,"This is the most beautiful car, The design of the Kia Seltos is much richer and newer than other SUV vehicles in India, as well as being sporty. Very good quality has been used in this. Its front is a quite bold while from the side and back it looks quite premium.
Read More"
20,Kia Seltos,"Nice look & features as well. Not all good features available in all the top models. Hi-tech. support features.
"
21,Kia Seltos,"The best car made by Kia. Seltos give excellent performance and also well comfort. The look of the car is also beautiful.
"
22,Kia Seltos,"Excellent car with top-notch features. Best in its class driving experience. High comfort level and space.
"
23,Kia Seltos,"It's a brilliant 5 seated car with heavy power and excellent fuel mileage. It's look is pretty awesome.
"
24,Kia Seltos,"Great car to drive and good proportions. There is less body roll at the back. Superb interiors and great tech inside. I heard quite a few comments that servicing is not that great but I have never experienced such an issue. Overall it's good.
Read More"
25,Kia Seltos,"Excellent car specification, head-lamp display, alloy wheels are very good and the design is amazing.
"
26,Kia Seltos,"Kia Seltos is a nice car. Also getting very nice interior and exterior in this vehicle.

 
"
27,Kia Seltos,This car is a very wonderfully design by Kia motors. Its headlights are very attractive and the front view of the car is very amazing. Kia Motors are giving the best function in this car of a 360-degree rotating parking camera with sunroof and also 6 airbags. The wooden finish in the interior of this car is very fabulous. Very luxurious sitting in ...Read More
28,Kia Seltos,"Superb car, it will be a good experience to drive a car like this and it will be ruling on Indian Road in the future. The taught of innovation to make this car for Indians very thankful. The technology used in this car is best for the price tag they have. The shape is the perfect SUV in the market. The LED lights front light everything is perfectly...Read More"
29,Kia Seltos,"This car is superb for mileage and looks stylish and furious. This is an awesome car.
"
30,Kia Seltos,"It is so well designed and comfortable car. I am glad to see such a car in that budget. First I had a Honda City but KIA is better than it. I and my whole family are enjoying it. It is also perfect for long journeys and from one state to another journey. I also like traveling, so I recommend all this car for travelers. Thank you.
Read More"
31,Kia Seltos,"Kia Seltos is a great car with good mileage, low maintenance cost and fully feature-loaded car. Amazing body design and perfect interior getting in this car.
"
32,Kia Seltos,"Good ride quality, refined engine, and 1.4 petrol motor is a blast to drive. Build quality gives a premium feel. Nice and spacious cabin well-built car.
"
33,Kia Seltos,"Nice and bold car Kia Seltos. Looking beautiful, nice shapes and aggressive looks. 
"
34,Kia Seltos,"Best car with high end features in a medium budget. When this car was launched in India it beat the Tata Harrier and MG Hector but it has a common exterior design that looks like Creta. It doesn't give a fresh look. Peopld liked it because of high features in this car with some more expenses. Due to high sales in India, this company became India's ...Read More"
35,Kia Seltos,"Kia is an affordable product for SUV lovers. If we are comparing Kia Seltos or Creta so Kia will definitely wins this segment.
"
36,Kia Seltos,"Kia Seltos is a very excellent car, as it offers much more features than other cars in this price range, but its top-end model is not value for money because it offers the smaller engine as compared to its rivals.
Read More"
37,Kia Seltos,"As your driving is more than 50 km/day so we'd suggest going with the diesel variant as it will reduce the running cost of the vehicle and longevity of the vehicle. If your driving is more in city traffic than an automatic variant will be a good option and if your driving is more on the highway, we'd suggest you go for the manual variant. Moreover, we'd suggest taking a test drive among the option which will help you to finalize your purchase."
38,Kia Seltos,Kia Seltos is one of the topmost good cars because of his good performance and many other excellent features at a cheap price. It is a new company which enters in Indian market but set up the best and strong market in the country we should appreciate to all to members who are working for the Kia company and thanks to designer who give this the best...Read More
