"Review","Review_rating"
"Kia Seltos is yet to hit the Indian Roads, but it already promises to be the best in its class. Kia Seltos stunning design and sporty looks are gonna impress the Indian car buyers and will definitely be the best selling car in the market. KIA is offering the latest technology in its car at an affordable price to compete against its rivals. Kia Selt...Read More",5
"Kia Seltos looks Amazingly rugged. The headlights and shoulder line gives a masculine look. Its front grill is oozing with an appeal while the alloy design is awesome.
",5
"Kia Seltos looks brilliant for sure it il rock the SUV segment, with a lot of features. The design is nice in this budget range.
",5
"Kia Seltos is a great Car, the brand has covered every aspect and has done a great job with terms to design, features, interiors. The best part is the pricing which I consider a big plus, as the majority of us are looking for cars which are in the range of 10 lakhs to 15 lakhs. Decent Car, Great Features and Perfect Pricing.
Read More",5
"Kia is a stunning stylishly designed Midsize SUV. At the price that it is offered, it is way better than Audi & BMW. The features offered in KIA are world class and are the latest technology. KIA has done an excellent job in making and launching its first car in the Indian market. KIA Seltos is definitely gonna be the best SUV in its class
Read More",5
"Kia Seltos must be the revolutionary company in the Indian automobile market.
",5
"Kia Seltos is a very good SUV in India, very nice look Exterior and very good design company. It works best. 
",4
"Overall Kia Seltos is looking killer. Best rival in the market for kicks and Creta. Loved the car. Functions and look.
",5
"The car really has elegant looks. It has extraordinary features and specifications with great technology. Kia will truly take the market of the SUV segment.
",4
"This is a nice car. The features are amazing. The looks are great. 
",5
"Everything is just marvellous about this SUV... will capture the market in 2yrs. The exterior is looking compact and stylish.. a fresh feel is there in comparison to Creta which the people have become used to. Kia has done well not going for bigger size like harrier or hector which should make it more fun to drive and economic. Interiors, and featu...Read More",5
"Kia Seltos certainly belongs to a next-gen SUV lineup coming to India. I wonder of how it's body strength, and structural capacity shall place it in the safety and security segment, all the features and design and power is eagerly welcomed, but body strength is of utmost importance.
Read More",4
"The stunning looks will attract the customers and there are all chances of getting a quick hit among the Indians. The safety and comfort are blended proportionately without neglecting aesthetics of compact SUV. The car would set the new standards in the Indian auto industry.
Read More",4
"Mind-blowing car by Kia Motors. This car will capture Indian market.
",5
"The looks of the car are amazing with good ground clearance and great mileage.
",5
"Superb looking car and future excellent color options and the interior was interesting it's better than all his segment Get it into lunch early in this year on roads dashing design super lights cubed like headlights no words to say Kia is fantastic job to create this car amazing future in India 
Read More",5
"I want to buy this car because I love this car. I searched for all those specifications of this car...It has awesome features.
",5
"It is an excellent car with very nice features as compared to MG Hector. The interior of the car is great and the music system is awesome.
",5
"The designing of the car is done keeping in mind the concept. The tires of the car are of 18 inches which is an essence for an SUV. It is best in class.

 
",5
"The looks of the car from the outside are superb. The concept of the car is similar to Creta and also it comes with great technology, features, specifications, and interiors especially the infotainment system.
Read More",5
"Good car, with great interiors. Smooth drive, with comparatively better mileage.
",4
"The most beautiful car than other companies currently in India. I don't know much about this company but this is the best car for every one because this is very powerful car and model is very nice looking and indicators are comparing with Audi and price is very suitable than other companies so please everyone should be buying this car and when it w...Read More",5
"It's going to launch with amazing features, and with a muscular sporty look. It will definitely work well on the Indian Market. If you're planning to buy a compact SUV like Creta or duster. It's a better option to wait for this new SUV. Features like paddle shifters and dual clutch gearbox will definitely be a deal breaker.
Read More",5
"This car is really good looking with efficiency, mileage, design, and features. Kia is the best choice if you want to go for an SUV segment car because the concept of the car is really great.
Read More",4
"Look wise competent to upcoming cars, features expected more than MG Hector if so it will be my most wanted car.
",5
"Kia Seltos comes in stunning and alluring color and looks. You will get a full package at an affordable price, loved it.
",5
"It is one of the best and most awaited car in India. It looks very luxurious and comfortable. Eagerly waiting for this car.
",5
"Excellent Look , With wonderful colour combinations , the front grills are looking so beautiful, futuristic design
",5
"Kia Seltos comes with great design and excellent power. The looks and concept of the car are great. 
",5
"Kia Seltos is a tough SUV which is attractive, durable and gives you great mileage. 
",5
"Review" "Review_rating"
"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR...Read More" 5
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.
" 5
"Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressin...Read More" 5
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect...Read More" 5
"Best features and look at, best engine performance and my favorite car in 2019.
" 5
"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR...Read More" 5
