review_title,review_url,review_text,review_likes,review_rating
THE BEAST JEEP COMPASS,https://www.cardekho.com/jeep/compass/user-reviews/2,"CAR... OMG ITS A BEAST...It's NOT JUST A CAR IT IS AN ULTIMATE ROARER......THE POWER, THE HANDLING, THE SUSPENSIONS, THE LOOKS, THE BODY....IT'S TOTALLY AN AMAZING BEAUTY AND A BEAST.....IT IS MORE THAN THE BEST...LOVE THIS CAR.....ITS INTERIORS ARE AMAZING...IT GIVES A FEEL OF THE MOST EXPENSIVE CARS, LUXURIOUS AND COMFORTABLE. ALSO, IT HAS AN OUT...Read More",1 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/2,"Pure driving pleasure. The vehicle is incomparable to any of it?s class. 173ps of horse power kills it all. Top speed at 205kmph, the torque and speed are enormous after second gear. A very stable vehicle at high speeds and McPherson strut shock absorbers just smoothens the ride at all terrain. If you looking up for a long drive this vehicle is jus...Read More",1 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/2,I have purchased Jeep Compass automatic last August and it has been wonderful experience till now be it its performance features drivability and comfort level everything is top notch and I would say pricing is quite impressive too. I am very much satisfied with the SUV overall and recommend it for purchase. Read More,1 Likes,5
Jeep Compass,https://www.cardekho.com/jeep/compass/user-reviews/2,It's is the best SUV car the best in segment and powerful I had a great experience and it's not a car it's a human thing.,2 Likes,5
Service is poor,https://www.cardekho.com/jeep/compass/user-reviews/2,"am regretfully informing you that the jeep compass longitude petrol, I purchased on 26 February 2019 from your agency is showing electrical fault ''BREK LIGHT OUT '' FROM THE DAY IT DELIVERED I manage d to send the vehicle twice pathway from Bhopal to your workshop but unfortunately they failed to rectify the problem as the backlights are still not...Read More",2 Likes,2
BATTERY ISSUE IN 1 YR,https://www.cardekho.com/jeep/compass/user-reviews/2,"We bought a Jeep Compass in Jan 2018. Its May 2019 and the battery died. There is no warranty! I'm shocked! Does battery die in a 1.5 yrs? We have had a Honda city for 12 yrs now and never had issues. Don't buy the Jeep unless you are willing to sign up for battery failure in a yr!!! Apparently, it's a common problem!!!! Also, any part issues — be ...Read More",2 Likes,1
Amazing Car,https://www.cardekho.com/jeep/compass/user-reviews/2,"In Love with confidence Jeep Compass gives when driving at high-speed due to its exceptional Control & its safety technologies which help in controlling the vehicle at all possible conditions. Now, as it is a Jeep, so I do take it for weekend trails, where its off road capability is really amazing. I Own the limited Plus 4×4 variant which has every...Read More",2 Likes,5
Jeep Compass - An absolute gem,https://www.cardekho.com/jeep/compass/user-reviews/2,"An absolute beast. Love the car in every aspect. Has a powerful engine and great drivability. The material used in the interiors is of absolutely premium quality. If you're looking for a great quality car and are really passionate about what you drive, go for Jeep Compass without any second thought. Read More",2 Likes,5
This car is one of its kind in india,https://www.cardekho.com/jeep/compass/user-reviews/2,"The car is ""Jack of all trades"" 18'inch wheelbase, EBV instead of the handbrake is superior Panoramic sunroof is lovely if you want speed, style, stability all in one go for jeep compass limited plus 4*4 Read More",2 Likes,4
AMAZING CAR,https://www.cardekho.com/jeep/compass/user-reviews/2,"It is an amazing car, perfect for Indian roads. Features of the car are amazing. Design, premium luxury, good making, safety, good mileage, 4×4 power, good feel of an off-road drive, very strong body. This car is suitable for all age person, good handling for girls, good seats, amazing leg space, amazing light design, good small works.  Read More",2 Likes,5
