"Review" "Review_rating"
"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that'...Read More" 5
"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one ...Read More" 5
"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because thi...Read More" 5
"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has be...Read More" 5
"The MG Hector wow what a car, almost all features under one roof that's how we welcome the technology in 2019 I believe the build body of the car, as well as the interior...Read More" 5
"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that'...Read More" 1
"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one ...Read More" 4
"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because thi...Read More" 5
"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has be...Read More" 5
"The MG Hector wow what a car, almost all features under one roof that's how we welcome the technology in 2019 I believe the build body of the car, as well as the interior...Read More" 5
"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that'...Read More" 4
"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one ...Read More" 5
"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because thi...Read More" 5
"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has be...Read More" 5
"The MG Hector wow what a car, almost all features under one roof that's how we welcome the technology in 2019 I believe the build body of the car, as well as the interior...Read More" 5
"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that'...Read More" 5
"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one ...Read More" 5
"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because thi...Read More" 5
"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has be...Read More" 4
"The MG Hector wow what a car, almost all features under one roof that's how we welcome the technology in 2019 I believe the build body of the car, as well as the interior...Read More" 5
"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that'...Read More" 5
"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one ...Read More" 5
"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because thi...Read More" 1
"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has be...Read More" 5
"The MG Hector wow what a car, almost all features under one roof that's how we welcome the technology in 2019 I believe the build body of the car, as well as the interior...Read More" 5
"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that'...Read More" 5
"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one ...Read More" 1
"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because thi...Read More" 2
"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has be...Read More" 5
"The MG Hector wow what a car, almost all features under one roof that's how we welcome the technology in 2019 I believe the build body of the car, as well as the interior...Read More" 5
"Review" "Review_rating"
"Best features in this segment. Filled with technology. The best price range for the specifications they are providing. This car is something Out of the box in the Indian Market. As this car is the first impression of MG motors in the Indian market they have worked a lot on this. The sunroof which is there is usually in Jaguar or BMW.
Read More" 4
"It is a great car with good new features. Spacious and well equipped, new locking system with smart airbags. After the first service from Chandigarh, it is much smooth
" 5
"MG Hector is a superb vehicle and totally feature-loaded, value for money and some minor aroused exterior like small tire size for a big vehicle, and rear side would be over reflector presence.
Read More" 5
"Very good vehicle but I look any more vehicles what is MG hectare is a good vehicle the interior nice space looking so nice and very good price Maruti Suzuki Baleno price MG hectare is a very good road trip vehicle this is not compared with you any more vehicle but I will be told very good vehicle nice looking.
Read More" 5
"Yesterday I drove this car from one of my friends. I think this is a very luxurious car nowadays with super-awesome features.
" 5
"Great car with great interiors and equipped with the latest features.
" 5
"It is so amazing and it so much easy for me to drive.
" 5
"Good looking. Amazing performance what a style. The brand is making perfect for youngsters. Important for safety as well.
" 5
"A wonderful and an amazing car. High ranking car of the year with all facilities like air bags, A.C., and much more.
" 5
"The car is beyond the next level. The function like \"hey MG\" is the best feature it has. Amazing speed and wonderful performance it has.
" 5
"That's the special car of the year. I experienced there is one of the luxurious low budget SUV I have seen.
" 5
"I bought MG Hector in October and so far this car gave me good mileage and very nice driving experience. Its infotainment system with the internet inside is a futuristic feature. Nice and spacious car with so many features and good mileage too. Value for money.
Read More" 5
"This car is just awesome, because of the design, the internet inside and the looks of this car and the engine performance is really good.
" 5
"MG Hector is the best car one can buy. Its comfort and class are uncomparable. Just an amazing vehicle one can buy. Safety features in hector are best in segment . you can always believe in the name MG because it defines comfort, class, safety. 
Read More" 5
"Best car for the family.
" 4
"Super good car and excellent condition with great mileage. Good interiors, wonderful performance and best designed.
" 5
"I like this car very much because of its spacious cabin and legroom for the passenger side and the internet inside the car is very much fast. Its engine fuel efficiency is good. Its interior is full of new features and it is also available in different colors and different variants.
Read More" 5
"The car is amazing, just mind-boggling features it has. I don't have words for it as the build quality is amazing.
" 5
"A very interesting and spectacular car. MG Hector is world famous now. The huge sunroof and the big 10-inch screen makes this car spectacular. This car gives very good comfort and large boot space. The entertainment in this is the most spectacular feature in MG Hector.
Read More" 5
"Good and excellent car and it takes all the attention of all the other cars just due to it's exterior. Good in all aspects.
" 5
"People might like the Kia better but this car has its class of its own with its phenomenal looks and stance which is a charmer on road. The features too are fully loaded as one would expect it to be so good job by the MG team.
Read More" 5
"1. The exterior looks superb and is a perfect car for men.

2. Best car in this class in the price.

3. Luxurious seating.

4. Large Panorama window.

5. Larger boot space.

6. Only a few commands are working.

7. Pickup, when compared to the same segment bit, lags in this and not that comfortable for driving, and especially due to a short clutch.
...Read More" 4
"The MG Hector pretty much outsizes everything in its class. Its length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention.
Read More" 4
"Smooth feel inside the beast. An amazing car so far.
" 5
"A real slayer. The interior and the exteriors are so dashing. Far better than Toyota Fortuner.
" 5
"The most powerful car.
" 5
"Perfect drive due to ultimate steering and infotainment system is mind-blowing.
" 5
"Amazing drive and great looks.
" 3
